,ID,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,MiddleTime,era5_new_date,era5_plusminus,era5_precip,era5_temp
15,11,12,AC-34,A,AC-34A,2017-03-06,145,145,-10.0,16.33018168,66.05549638,560237.5303,7326734.951,11:20:00,2017-03-07,plus,0.1,-14.9
308,434,6,AC-33,A,AC-33A,2023-03-11,80,80,-20.0,16.03670724,66.06518167,546930.7414,7327563.494,08:50:00,2023-03-12,plus,0.2,-13.9
88,134,142,AC-29,A,AC-29A,2022-03-14,180,180,-8.4,16.14107316,66.10983041,551564.2798,7332621.634,06:34:30,2022-03-15,plus,0.0,-4.5
307,433,5,AC-30,A,AC-30A,2023-03-25,45,45,-10.0,16.32392487,66.07345377,559911.9498,7328730.193,11:32:30,2023-03-26,plus,0.0,-13.6
347,486,59,AC-26,C,AC-26C,2023-03-25,45,45,-10.0,16.12773116,66.17593417,550828.7822,7339978.009,13:47:30,2023-03-26,plus,0.0,-13.6
90,135,143,AC-23,A,AC-23A,2022-03-15,120,120,-1.0,15.37146429,66.23064849,516707.0051,7345668.731,10:37:00,2022-03-16,plus,0.0,-5.6
306,432,4,AC-34,A,AC-34A,2023-03-25,80,80,-12.0,16.33018168,66.05549638,560237.5303,7326734.951,10:30:00,2023-03-26,plus,0.0,-13.6
5,6,7,AC-41,A,AC-41A,2017-03-04,70,70,-9.0,16.26443367,65.83598422,557753.5181,7302210.037,12:50:00,2017-03-05,plus,0.0,-16.8
92,136,144,AC-38,A,AC-38A,2022-03-15,75,75,-17.0,16.02861195,65.89659453,546872.4418,7308768.327,07:18:30,2022-03-16,plus,0.0,-5.6
305,431,3,AC-24,A,AC-24A,2023-03-27,80,80,-10.0,15.69390556,66.19086231,531257.926,7341357.54,11:30:00,2023-03-28,plus,0.0,-15.2
