ID,ERA5_time,era5_l_lai_hv,era5_l_lai_lv,era5_l_skt,era5_l_rsn,era5_l_sde,era5_l_sd,era5_l_tsn,tp
422,2022-03-15T13,4.220354,0.66932666,264.06012,326.03955,1.8427594,0.6008487,262.01785,9.186317e-11
423,2022-03-15T13,3.7430775,0.6583224,268.7478,304.2757,1.1210907,0.34115335,264.8126,9.186317e-11
424,2022-03-15T13,1.1290027,0.7883478,263.20706,325.07285,1.9628832,0.63810486,261.4028,9.186317e-11
425,2022-03-15T13,0.45408773,0.7539076,263.4004,327.58838,1.9804592,0.648702,261.61624,9.186317e-11
426,2022-03-16T13,7.567342e-09,0.75901836,261.28806,317.31262,1.727525,0.54844993,259.23773,7.0044644e-07
427,2022-03-16T13,4.9074736,1.0697163,262.0911,304.25967,1.412084,0.42953146,259.4694,7.0044644e-07
428,2022-04-15T13,4.5052557,0.91920185,268.09488,312.68213,1.5507749,0.48517317,264.80548,1.400801e-06
429,2023-03-26T13,3.6542127,0.49427128,258.16745,272.82895,1.3760072,0.37547296,255.39885,9.803193e-06
430,2023-03-27T13,3.6542127,0.49427128,255.5336,274.58606,1.3672192,0.3754985,253.28038,2.8015102e-06
431,2023-03-27T13,3.569696,0.46006143,256.02036,277.13898,1.3799056,0.38246968,253.67354,2.8015102e-06
432,2023-03-25T13,4.8658257,0.6663799,257.7494,251.00635,1.2050717,0.3027225,256.2788,4.9007112e-06
433,2023-03-25T13,4.8658257,0.6663799,257.7494,251.00635,1.2050717,0.3027225,256.2788,4.9007112e-06
434,2023-03-11T13,4.71548,0.98412246,257.9563,276.6583,1.0800582,0.2988156,254.5788,0.00023805731
435,2023-03-11T13,4.9377565,0.8792826,256.96417,275.90524,1.1415739,0.31505615,253.63716,0.00025696316
436,2023-03-07T13,4.987414,1.1117076,254.25229,272.91974,1.1777167,0.32151657,255.57413,0.00015963809
437,2023-03-25T13,4.6675005,0.8843934,258.5168,257.6183,1.2529099,0.32299763,256.73853,7.001775e-06
438,2023-03-11T13,4.9241023,0.7094762,256.99893,274.60208,1.2187492,0.3347184,253.80135,0.00029967361
439,2023-03-25T13,4.6380568,0.60643196,257.52298,265.91257,1.3681443,0.36372668,255.80133,1.1902394e-05
440,2023-04-17T13,4.2207355,0.6722274,274.76007,334.3819,1.2998229,0.4348173,271.27094,0.00020585032
441,2023-04-13T13,7.567342e-09,0.75901836,272.38315,316.68774,1.3456788,0.4260842,268.71228,1.120204e-05
442,2023-04-13T13,1.0232803,0.7380228,272.47302,321.04053,1.3877023,0.44544002,269.01093,7.001775e-06
