,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,temperature,x_4326,y_4326,x_3006,y_3006
226,239,AC-21,B,AC-21B,2020-04-28,195,-3.0,15.58142379,66.32569497,526051.5524,7356334.762
227,240,AC-31,B,AC-31B,2020-04-28,135,-10.0,15.63274264,66.01705338,528698.4479,7321955.65
228,241,AC-32,B,AC-32B,2020-04-28,240+,-1.0,15.96743701,66.06109946,543802.1738,7327058.39
229,242,AC-34,B,AC-34B,2020-04-29,195,-5.0,16.41726798,66.06140904,564165.8276,7327480.284
230,243,AC-30,B,AC-30B,2020-04-29,90,-5.0,16.3475215,66.10802569,560896.7912,7332605.764
231,244,AC-29,B,AC-29B,2020-04-29,160,-5.0,16.13381444,66.1455831,551164.1776,7336600.318
232,245,AC-25,B,AC-25B,2020-04-29,50,-3.0,15.92210788,66.22488338,541481.2433,7345282.029
233,246,AC-24,B,AC-24B,2020-04-29,90,-2.0,15.75089585,66.21837029,533788.2675,7344453.175
234,247,AC-27,B,AC-27B,2020-05-01,240+,-5.0,15.77325645,66.10627946,534948.6291,7331971.961
235,248,AC-43,B,AC-43B,2020-05-09,85,-2.0,15.29647724,66.09173882,513407.6892,7330167.287
236,249,AC-46,B,AC-46B,2020-05-09,170,-3.0,15.26675247,66.15918547,512031.4368,7337679.111
237,250,AC-26,B,AC-26B,2020-04-29,85,-3.0,16.06001278,66.19911613,547733.1046,7342508.393
238,251,AC-22,B,AC-22B,2021-04-12,185,-5.0,15.6976547,66.29959822,531291.7265,7353479.21
239,252,AC-21,B,AC-21B,2021-04-12,100,-5.0,15.58142379,66.32569497,526051.5524,7356334.762
240,253,AC-23,B,AC-23B,2021-04-12,145,-5.0,15.45909231,66.2246367,520653.0315,7345024.777
241,254,AC-43,B,AC-43B,2021-04-17,95,-8.0,15.29647724,66.09173882,513407.6892,7330167.287
242,255,AC-46,B,AC-46B,2021-04-17,90,-6.0,15.26675247,66.15918547,512031.4368,7337679.111
243,256,AC-32,B,AC-32B,2021-05-03,130,-8.0,15.96743701,66.06109946,543802.1738,7327058.39
244,257,AC-27,B,AC-27B,2021-05-03,75,-8.0,15.77325645,66.10627946,534948.6291,7331971.961
245,258,AC-32,B,AC-32B,2021-03-10,240+,-15.0,15.96743701,66.06109946,543802.1738,7327058.39
246,259,AC-33,B,AC-33B,2021-03-10,90,-20.0,16.12502754,66.06502455,550928.8997,7327614.924
247,260,AC-41,B,AC-41B,2021-03-15,140,-10.0,16.35196411,65.83569752,561751.7168,7302261.377
248,261,AC-42,B,AC-42B,2021-03-16,85,-10.0,15.76104404,65.87253495,534712.811,7305912.951
